position,title
Q11942698,President
Q3556895,Vice President
Q28706232,Minister of Agriculture
Q114606583,Minister of Commerce
Q113578029,Minister of Communications and Information
Q114606511,Minister of Communities and Social Movements
Q114606392,Minister of Corrections
Q114606446,Minister of Culture
Q113578049,Minister of Defence
Q114606287,Minister of Ecological Mining Development
Q114606369,Minister of Ecosocialism
Q113578045,Minister of Education
Q114606478,Minister of Electrical Power
Q113578038,Minister of Environment and Natural Resources
Q28706262,Minister of Finance
Q114605062,Minister of Fisheries and Aquaculture
Q16607785,Minister of Food
Q113470515,Minister of Foreign Affairs
Q114606356,Minister of Ground Transport
Q114606504,Minister of Health
Q114606335,Minister of Housing and Habitat
Q114606519,Minister of Indigenous Peoples
Q114606298,Minister of Industries and National Production
Q114606345,"Minister of the Interior, Justice and Peace"
Q114606382,Minister of Labour and Social Security
Q114606325,Minister of the Office of the Presidency
Q114606307,Minister of Petroleum
Q114606316,Minister of Planning
Q114606270,Minister of Public Works
Q114606460,"Minister of Science and Technology"
Q114606400,Minister of Tourism
Q114606437,Minister of University Education
Q114606534,Minister of Urban Agriculture
Q114606615,Minister of Water
Q114606493,Minister of Women and Gender Equality
Q114606486,Minister of Youth and Sports
Q6597955,President of the National Assembly
