position,title
Q6570933,First Lady
Q21970629,First Vice President of the National Assembly
Q5881770,Governor of Amazonas
Q114604983,Governor of Sucre
Q40338515,ambassador to Canada
Q112306677,ambassador to Colombia
Q113548778,ambassador to Colombia
Q110711825,ambassador to Ecuador
Q110711823,ambassador to France
Q112306653,ambassador to Gabon
Q112232309,ambassador to Japan
Q112306623,ambassador to Norway
Q37841620,ambassador to the People's Republic of China
Q110711787,ambassador to Spain
Q96850702,ambassador to the United Kingdom
Q30158535,ambassador to Uruguay
Q94678483,Permanent Representative to the United Nations
Q30158724,ambassador
