item,itemLabel,startDate,endDate,sourceDate,psid
Q6310283,Isaías Rodríguez,2000-01-29,2000-12-24,2022-08-22,Q6310283-372CC386-AD1D-442D-8FB4-75A54B9B11D5
Q4682878,Adina Bastidas,2000-12-24,2002-01-13,,Q4682878-7BF7BEA3-5839-4524-BE8D-F12D06F724E0
Q1227076,Diosdado Cabello,2002-01-13,2002-04-28,,Q1227076-EE0AF3C6-E993-499F-83E8-AC7AC3249DD0
Q716294,José Vicente Rangel,2002-04-14,2007-01-03,,Q716294-BF3761CB-35B7-4133-AC9A-4CB677A5B074
Q3295308,Jorge Rodríguez,2007-01-03,2008-01-04,2022-08-22,Q3295308-31B40CB1-7420-49BC-BBB0-E0279D382005
Q1185484,Ramón Carrizales,2008-01-04,2010-01-26,2022-08-22,Q1185484-FC19A11C-9351-43D8-8E82-4141B5364D8F
Q1334512,Elías Jaua,2010-01-27,2012-10-13,,Q1334512-6066a6a9-40aa-acb4-87ce-21c5e70598d2
Q58132,Nicolás Maduro,2012-10-13,2013-03-05,,Q58132-30dabbed-4832-f3a2-fa2e-196b33694e14
Q6623799,Jorge Arreaza,2013-04-19,2016-01-06,,Q6623799-7D4E1A37-3A22-4216-9F5C-1E8C448DA3B9
Q4791112,Aristóbulo Istúriz,2016-01-06,2017-01-04,2022-08-22,Q4791112-18D6AE13-18A6-4B3A-9E72-1A3C154A5569
Q506399,Tareck El Aissami,2017-01-04,2018-06-14,2022-08-22,Q506399-D4C2A9E8-229F-45F8-ACD6-2E651AC815C9
Q15081116,Delcy Rodríguez,2018-06-14,2020-09-10,,Q15081116-e40dfa7d-4cb9-b84f-2544-6ab974448823
