@@,item,itemlabel,position,positionlabel,startdate,enddate,psid
->,Q113548777->Q12176661,Carlos Rafael Faría Tortosa->Yván Gil,Q113470515,Ministerio del Poder Popular para Relaciones Exteriores,2022-05-17->2023-01-06,,Q113548777-dc1741f4-4e53-2368-3628-75caedf5a594
---,Q15081116,Delcy Rodríguez,Q3556895,Vicepresidente de Venezuela,2018-06-14,,Q15081116-e40dfa7d-4cb9-b84f-2544-6ab974448823
---,Q58132,Nicolás Maduro,Q11942698,presidente de Venezuela,2013-03-05,,Q58132-96DB508B-6792-4044-9432-16F48352CCC8
