item,itemLabel,position,positionLabel,startDate,endDate,source,psid
Q106975980,Gabriela Jiménez Ramírez,Q114606460,Ministerio del Poder Popular para la Ciencia y Tecnología,2019-06-06,,https://es.wikipedia.org/wiki/Anexo:Ministerios_del_Poder_Popular_de_Venezuela,Q106975980-EEF0BF86-7E03-48F4-B033-4277FF5AF5EE
Q107030818,Hipólito Abreu,Q114606298,Ministerio del Poder Popular de Industrias y Producción Nacional,2022-05-16,,https://es.wikipedia.org/wiki/Anexo:Ministerios_del_Poder_Popular_de_Venezuela,Q107030818-9D384BA9-D430-4678-A7C8-6C620CDA3D36
Q109017878,Carlos Leal Tellería,Q16607785,Ministerio del Poder Popular para la Alimentación,2019-04-15,,https://es.wikipedia.org/wiki/Anexo:Ministerios_del_Poder_Popular_de_Venezuela,Q109017878-571A0440-128C-44FE-A7E9-426F23A70B8F
Q109044864,Mervin Maldonado,Q114606486,Ministerio del Poder Popular para la Juventud y el Deporte,2020-09-04,,https://es.wikipedia.org/wiki/Anexo:Ministerios_del_Poder_Popular_de_Venezuela,Q109044864-1A676157-6DC2-43E6-A82C-6E479F233807
Q109671346,Dheliz Álvarez,Q114606583,Ministerio del Poder Popular para el Comercio Nacional,2021-10-19,,https://es.wikipedia.org/wiki/Anexo:Ministerios_del_Poder_Popular_de_Venezuela,Q109671346-8F5A3361-7AAA-4757-A574-437671BB3634
Q110992142,Diva Guzmán,Q114606493,Ministerio del Poder Popular para la Mujer y la Igualdad de Género,2022-02-09,,https://es.wikipedia.org/wiki/Anexo:Ministerios_del_Poder_Popular_de_Venezuela,Q110992142-327E72AA-EDC3-411C-B824-78481AF720FE
Q111208069,Clara Vidal,Q114606519,Ministerio del Poder Popular para los Pueblos Indígenas,2022-02-09,,https://es.wikipedia.org/wiki/Anexo:Ministerios_del_Poder_Popular_de_Venezuela,Q111208069-510B8FC7-51EF-4A93-A58F-A1407EF19CF6
Q113090321,Juan Carlos Loyo,Q114605062,Ministerio del Poder Popular para la Pesca y Acuicultura,2022-04-22,,https://es.wikipedia.org/wiki/Anexo:Ministerios_del_Poder_Popular_de_Venezuela,Q113090321-70D12441-0B4B-4731-B1B0-D0524CE0E920
Q113548777,Carlos Rafael Faría Tortosa,Q113470515,Ministerio del Poder Popular para Relaciones Exteriores,2022-05-17,,https://es.wikipedia.org/wiki/Anexo:Ministerios_del_Poder_Popular_de_Venezuela,Q113548777-dc1741f4-4e53-2368-3628-75caedf5a594
Q114605662,Raúl Alfonso Paredes,Q114606270,Ministerio del Poder Popular para Obras Públicas,2018-06-14,,https://es.wikipedia.org/wiki/Anexo:Ministerios_del_Poder_Popular_de_Venezuela,Q114605662-BDACD125-E138-46E0-823D-D5400CAE5684
Q114606662,Alí Padrón Paredes,Q114606400,Ministerio del Poder Popular para el Turismo,2020-10-25,,https://es.wikipedia.org/wiki/Anexo:Ministerios_del_Poder_Popular_de_Venezuela,Q114606662-447A405C-04F5-4AEB-AB9D-0C7461322A47
Q114606663,Greicys Dayamni Barrios,Q114606534,Ministerio del Poder Popular de Agricultura Urbana,2020-09-04,,https://es.wikipedia.org/wiki/Anexo:Ministerios_del_Poder_Popular_de_Venezuela,Q114606663-3E9BCD5F-5AC6-4345-850C-71174E196CEA
Q114606664,Ildemaro Moisés Villarroel Arismendi,Q114606335,Ministerio del Poder Popular para Hábitat y Vivienda,2017-11-26,,https://es.wikipedia.org/wiki/Anexo:Ministerios_del_Poder_Popular_de_Venezuela,Q114606664-8D450111-272B-4F96-889B-36A51597C3B9
Q114606665,Josué Alejandro Lorca,Q114606369,Ministerio del Poder Popular para el Ecosocialismo,2021-04-22,,https://es.wikipedia.org/wiki/Anexo:Ministerios_del_Poder_Popular_de_Venezuela,Q114606665-733E3415-059E-41D3-BEEC-9ABA7BA15553
Q114606666,Magaly Gutiérrez Viña,Q114606504,Ministerio del Poder Popular para la Salud,2022-02-09,,https://es.wikipedia.org/wiki/Anexo:Ministerios_del_Poder_Popular_de_Venezuela,Q114606666-0B55279D-47F4-4B2D-9A42-0F4A5215DBAC
Q114606668,Mirelys Contreras,Q114606392,Ministerio del Poder Popular para el Servicio Penitenciario,2020-09-04,,https://es.wikipedia.org/wiki/Anexo:Ministerios_del_Poder_Popular_de_Venezuela,Q114606668-B89CC71D-F6EC-4073-97D2-7C5044635C56
Q15081116,Delcy Rodríguez,Q28706262,"Ministerio del Poder Popular de Economía, Finanzas y Comercio Exterior",2020-09-10,,https://es.wikipedia.org/wiki/Anexo:Ministerios_del_Poder_Popular_de_Venezuela,Q15081116-b8a19ab0-4de7-3818-b90f-1bac2a9e014d
