itemLabel,positionLabel
Nicolás Maduro Moros,President of the Republic
Delcy Eloína Rodriguez Gómez,Executive Vice-President
Ricardo José Menéndez Prieto,Vice-President of Planning and Minister of Planning
Gen. Vladimir Padrino López,"Vice-President of Political Sovereignty, Security and Peace and Minister of Defence"
Tareck El Aissami,Vice-President of Economy and Minister of Petroleum
Mervin Maldonado,Vice-President of Social and Territorial Development and Minister of Youth and Sport
Freddy Ñáñez,"Vice-President of Communication and Culture, and Minister of Communication and Information"
Gen. Néstor Luis Reverol Torres,Vice-President of Public Works and Services and Minister of Electric Energy
Remigio Ceballos,"Vice-President of Citizen Security and Peace, and Minister of Interior Relations, Justice and Peace"
Yelitze Santaella,Minister of Education
Hipólito Antonio Abreu Paéz,Minister of Industries and National Production
Carlos Rafael Faria Tortosa,Minister of Foreign Affairs
Delcy Eloína Rodriguez Gómez,"Minister of Economy, Finance and Foreign Trade"
Col (Retd) Wilmar Alfredo Castro Soteldo,Minister of Agricultural Production and Lands
Maj.-Gen. Carlos Augusto Leal Tellería,Minister of Food
Magaly Gutiérrez Viña,Minister of Health
Raúl Alfonzo Paredes,Minister of Public Works
Diva Guzmán,Minister of Women’s Affairs and Gender Equality
Ildemaro Moisés Villarroel Arismendi,Minister of Habitat and Housing
Adm. William Serantes Pinto,Minister of Ecological Mining Development
Juan Carlos Loyo Hernandéz,Minister of Fisheries and Aquaculture
Tibisay Lucena,Minister of University Education
Gabriela Servilia Jiménez Ramírez,Minister of Science and Technology
Greicys Barrios Prada,Minister of Urban Agriculture
Josué Alejandro Lorca Vega,Minister of Ecosocialism
Ramón Celestino Velásquez,Minister of Transport
Francisco Torrealba,Minister of the Social Process of Labour
Alí Padrón Paredes,Minister of Tourism
Ernesto Emilio Villegas Poljak,Minister of Culture
Clara Vidal,Minister of Indigenous Peoples
Mirelys Zulay Contreras Moreno,Minister of the Penitentiary Service
Rodolfo Clemente Marco Torres,Minister of Water Care
Jorge Alberto Arreaza,Minister of Communes and Social Movements
Dheliz Álvarez,Minister of Commerce
