position,person,personID,start,end
President,Nicolás Maduro,Q58132,2013-03-05,
Vice President,Delcy Rodríguez,Q15081116,2018-06-14,
Minister of Agriculture,Wilmar Castro Soteldo,Q6167867,2016-01-06,
Minister of Commerce,Dheliz Álvarez,Q109671346,2021-10-19,
Minister of Communications and Information,Freddy Ñáñez,Q22133019,2020-09-04,
Minister of Communities and Social Movements,Jorge Arreaza,Q6623799,2022-02-04,
Minister of Corrections,Mirelys Contreras,Q114606668,2020-09-04,
Minister of Culture,Ernesto Villegas,Q3788643,2017-11-03,
Minister of Defence,Vladimir Padrino López,Q19519696,2014-09-03,
Minister of Ecological Mining Development,William Serantes Pinto,Q98280254,2021-08-19,
Minister of Ecosocialism,Josué Alejandro Lorca,Q114606665,2021-04-22,
Minister of Education,Yelitze Santaella,Q6169921,2021-08-19,
Minister of Electrical Power,Néstor Reverol,Q6047488,2020-10-25,
Minister of Finance,Delcy Rodríguez,Q15081116,2020-09-10,
Minister of Fisheries and Aquaculture,Juan Carlos Loyo,Q113090321,2022-04-22,
Minister of Food,Carlos Leal,Q109017878,2019-04-15,
Minister of Foreign Affairs,Carlos Faria,Q113548777,2022-05-17,
Minister of Ground Transport,Ramón Celestino Velázquez,Q28503444,2022-05-16,
Minister of Health,Magaly Gutiérrez Viña,Q114606666,2022-02-09,
Minister of Housing and Habitat,Ildemaro Moisés Villarroel Arismendi,Q114606664,2017-11-26,
Minister of Indigenous Peoples,Clara Vidal,Q111208069,2022-02-09,
Minister of Industries and National Production,Hipólito Abreu,Q107030818,2022-05-16,
"Minister of the Interior, Justice and Peace",Remigio Ceballos,Q85383854,2021-08-19,
Minister of Labour and Social Security,Francisco Torrealba,Q28503440,2022-05-16,
Minister of the Office of the Presidency,Jorge Márquez,Q77892039,2017-10-26,
Minister of Petroleum,Tareck El Aissami,Q506399,2020-04-27,
Minister of Planning,Ricardo José Menéndez Prieto,Q6108259,2014-06-17,
Minister of Public Works,Raúl Alfonso Paredes,Q114605662,2018-06-14,
Minister of Science and Technology,Gabriela Jiménez,Q106975980,2019-06-06,
Minister of Tourism,Alí Padrón Paredes,Q114606662,2020-10-25,
Minister of University Education,Tibisay Lucena,Q6146383,2021-10-19,
Minister of Urban Agriculture,Greicys Dayamni Barrios,Q114606663,2020-09-04,
Minister of Water,Rodolfo Marco Torres,Q16301804,2021-09-17,
Minister of Women and Gender Equality,Diva Guzmán,Q110992142,2022-02-09,
Minister of Youth and Sports,Mervin Maldonado,Q109044864,2020-09-04,
President of the National Assembly,Jorge Rodríguez,Q3295308,2021-01-05,
