wanted,position,positionid,from,start,end
Q107043679,Minister of Ecological Mining Development,Q114606287,Q98280254,2021-08-19,
Q506399,Minister of Industries and National Production,Q114606298,Q6623799,2021-08-19,2021-12-08
Q46576947,Minister of Fisheries and Aquaculture,Q114605062,Q12162046,2018-06-14,2020-05-27
Q12181969,Minister of Education,Q113578045,Q112725863,2016-01-06,2017-01-04
Q524351,Minister of Communications and Information,Q113578029,Q3788643,2012-10-13,2013-08-04
Q3417233,Minister of Finance,Q28706262,Q2855363,2008-06,2010-01
Q63810409,Minister of Environment and Natural Resources,Q113578038,Q3157719,2005-01,2007-01
