wanted,position,positionid,from,start,end
Q3295308,Minister of Communications and Information,Q113578029,Q3788643,2016-10-04,2017-11-03
Q104450411,Minister of Communications and Information,Q113578029,Q3157719,2014-10-13,2015-04-28
Q2127006,Minister of Foreign Affairs,Q113470515,Q1334512,2013-01-15,2014-09-02
Q5839772,President of the National Assembly,Q6597955,Q799556,2006-08-15,2011-01-05
Q6278714,Permanent Representative to the United Nations,Q94678483,Q5483151,2006,2008
Q5696460,Minister of Environment and Natural Resources,Q113578038,Q3157719,2005-01,2007-01
Q16106233,Minister of Foreign Affairs,Q113470515,Q716294,1999-02-02,2001-02-14
