who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
9530834,Q6570933,First Lady of Venezuela,,,Q6328534,Marisabel Rodríguez de Chávez,,,0
9530834,Q6597955,4th President of the National Assembly,2006-08-15,2011-01-05,Q58132,Nicolás Maduro,,Fernando Soto Rojas,1
9530834,National Assembly (Venezuela),4th President of the National Assembly,2006-08-15,2011-01-05,Q58132,Nicolás Maduro,,Fernando Soto Rojas,2
9530834,,Attorney General of Venezuela,2012-01-25,2013-03-11,Carlos Escarrá,Carlos Escarrá,,Manuel Enrique Galindo,3
9530834,National Assembly (Venezuela),Member of the National Assembly,2016-01-05,2017-06-02,,,,,4
9530834,,,2000-07-30,2012-02-02,,,,,5
9530834,2017 Constituent National Assembly,Member of the National Constituent Assembly,2017-08-04,,,,,,6
