who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
7161476,Q11942698,President of Venezuela,5 March 2013 Disputed since 10 January 2019,,Q8440,Hugo Chávez,,,0
7161476,Non-Aligned Movement,Secretary General of the Non-Aligned Movement,2016-09-17,2019-10-25,Hassan Rouhani,Hassan Rouhani,Ilham Aliyev,Ilham Aliyev,1
7161476,President pro tempore of the Union of South American Nations,President pro tempore of the Union of South American Nations,2016-04-23,2017-04-21,Tabaré Vázquez,Tabaré Vázquez,Mauricio Macri,Mauricio Macri,2
7161476,Q3556895,Vice President of Venezuela,2012-10-13,2013-03-05,Q1334512,Elías Jaua,Q6623799,Jorge Arreaza,3
7161476,List of Ministers of Foreign Affairs of Venezuela,Minister of Foreign Affairs,2006-08-09,2013-01-15,Q2855363,Alí Rodríguez Araque,Q1334512,Elías Jaua,4
7161476,Q6597955,President of the National Assembly of Venezuela,2005-01-05,2006-08-07,Q5865064,Francisco Ameliach,Q799556,Cilia Flores,5
7161476,National Assembly (Venezuela),Member of the National Assembly of Venezuela for Capital District,2000-08-03,2006-08-07,,,,,6
7161476,Capital District (Venezuela),Member of the National Assembly of Venezuela for Capital District,2000-08-03,2006-08-07,,,,,7
