who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
59587978,Q11942698,Acting President of Venezuela (contested),2019-01-23,5 January 2023 Disputed with Nicolás Maduro,Q58132,Nicolás Maduro (disputed),,,0
59587978,Q6597955,10th President of the National Assembly of Venezuela,2019-01-05,2021-01-05,Q3438429,Omar Barboza,Q3295308,Jorge Rodríguez,1
59587978,National Assembly (Venezuela),Majority Leader of the National Assembly of Venezuela,2018-01-05,2019-01-05,Stalin González,Stalin González,,Carlos Prosperi,2
59587978,National Assembly (Venezuela),Deputy of the National Assembly of Venezuela for Vargas,2016-01-05,2021-01-05,,,,,3
59587978,Vargas (state),Deputy of the National Assembly of Venezuela for Vargas,2016-01-05,2021-01-05,,,,,4
