who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
22356659,,Minister of Petroleum,2020-04-27,,,Manuel Quevedo,,,0
22356659,,Minister of Industries and National Production,2018-06-14,,,,,,1
22356659,Q3556895,Vice President of Venezuela,2017-01-04,2018-06-14,Q4791112,Aristóbulo Istúriz,Q15081116,Delcy Rodríguez,2
22356659,List of Governors of Aragua,Governor of Aragua,2012-12-27,2017-01-04,Rafael Isea,Rafael Isea,,Caryl Bertho,3
22356659,Minister of Interior and Justice (Venezuela),Minister of Interior and Justice,2008-09-08,2012-10-13,Ramón Rodríguez Chacín,Ramón Rodríguez Chacín,,Néstor Reverol,4
