who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
8767262,Q6597955,12th President of the National Assembly of Venezuela,2021-01-05,,Q81101807,Luis Parra,,,0
8767262,Minister of Popular Power for Communication and Information,Minister of Popular Power for Communication and Information,2017-11-03,2020-09-04,Q3788643,Ernesto Villegas,,Freddy Ñáñez,1
8767262,Libertador Bolivarian Municipality,Mayor of the Libertador Bolivarian Municipality,2009-12-01,2017-11-03,Freddy Bernal,Freddy Bernal,,Luis Lira,2
8767262,Q3556895,Vice President of Venezuela,2007-01-08,2008-01-03,Jose Vicente Rangel,Jose Vicente Rangel,Q1185484,Ramón Carrizales,3
