who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
44198492,,Head of Government of the Venezuelan Capital District,2014-10-13,2015-05-26,Q3157719,Jacqueline Faría,,Juan Carlos Dugarte,0
44198492,,Minister of State for the Revolutionary Transformation of Greater Caracas,2013-12,,,Francisco de Asís Sesto Novas,,,1
44198492,Ministry of Popular Power for Communication and Information,Minister of Popular Power for Communication and Information,2016-10-04,2017-11-03,,Luis José Marcano Salazar,Q3295308,Jorge Rodríguez,2
44198492,,,2012-10-13,2013-08-04,Andrés Izarra,Andrés Izarra,Q15081116,Delcy Rodríguez,3
