who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
44199228,,,,,,,,,0
44199228,Q3556895,Vice President of Venezuela,14 June 2018 Disputed since 10 January 2019,,Q506399,Tareck El Aissami,,,1
44199228,2017 Constituent Assembly of Venezuela,President of the Constituent Assembly,2017-08-04,2018-06-14,Luis Miquilena,Luis Miquilena (1999),Q1227076,Diosdado Cabello,2
44199228,List of Ministers of Foreign Affairs of Venezuela,Minister of Foreign Affairs,2014-12-26,2017-06-21,Rafael Ramírez (Venezuela),Rafael Ramírez,Q30505969,Samuel Moncada,3
44199228,Minister of Popular Power for Communication and Information,Minister of Popular Power for Communication and Information,2013-08-03,2014-10-13,Q3788643,Ernesto Villegas,Jacqueline Faria,Jacqueline Faria,4
