who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
38763651,Q3556895,Vice President of Venezuela,2013-04-19,6 January 2016 Acting: 8 March 2013 – 19 April 2013,Q58132,Nicolás Maduro,Q4791112,Aristóbulo Istúriz,0
38763651,List of Ministers of Foreign Affairs of Venezuela,Minister of Foreign Affairs,2017-08-02,2021-08-19,Q30505969,Samuel Moncada,,Felix Plasencia,1
38763651,Cabinet of Venezuela,"Minister of Higher Education, Science and Technology",2016-01-08,2017-01-04,,Manuel Fernández Meléndez,,Hugbel Roa,2
38763651,,Minister of Science and Technology,2011-11-27,2013-04-19,,Office created,,Manuel Fernández Meléndez,3
