item,itemLabel,position,positionLabel,start,psid
Q109017878,Carlos Leal,Q16607785,Minister of Food,2019-04-15,Q109017878-571A0440-128C-44FE-A7E9-426F23A70B8F
Q113548777,Carlos Faria,Q113470515,Minister of Foreign Affairs of the Bolivarian Republic of Venezuela,2022-05-17,Q113548777-dc1741f4-4e53-2368-3628-75caedf5a594
Q12162046,Dante Rivas,Q114605062,Minister of Popular Power for Fisheries and Aquaculture,2018-06-14,Q12162046-fe2f3fa7-4d43-2673-aa76-5f722f3bb2e1
Q15081116,Delcy Rodríguez,Q28706262,Minister of Finance of Venezuela,2020-09-10,Q15081116-b8a19ab0-4de7-3818-b90f-1bac2a9e014d
Q58132,Nicolás Maduro,Q11942698,President of Venezuela,2013-03-05,Q58132-96DB508B-6792-4044-9432-16F48352CCC8
