position,positionLabel,ofLabel,jurisdictionLabel,people,example
Q1501800,director general,National Commission of Telecommunications,,2,Q77892039
Q1255921,president,National Electoral Council of Venezuela,organization,2,Q6146383
Q4594602,1999 National Constituent Assembly of Venezuela,,Venezuela,1,Q3237890
Q28057104,General Secretary of the Communist Party of Venezuela,,,1,Q22074514
Q3068962,President pro tempore of the Union of South American Nations,,,1,Q58132
Q6596647,Secretary General of OPEC,,,1,Q2855363
Q15647601,Secretary General of the Non-Aligned Movement,,,1,Q58132
Q2474558,Secretary General of the Union of South American Nations,,,1,Q2855363
Q708492,council member,Simón Rodríguez municipality,municipality,1,Q77361480
Q1553195,party leader,United Socialist Party of Venezuela,,1,Q8440
Q1255921,president,PDVSA,organization,1,Q2127006
